ime_sportnika,leto,mesec,Skupaj_kilometri,skupaj_trajanje_aktivnosti_sek,poraba_kalorij
Sportnik2,2015,3,993.6764800000001,126353.0,23330.0
Sportnik2,2015,4,1040.0983899999999,121864.0,25851.0
Sportnik2,2015,5,947.6811200000001,122328.0,26879.0
Sportnik2,2015,6,1153.8146,211808.0,25698.0
Sportnik2,2015,7,1108.2252399999998,139751.0,24250.0
Sportnik2,2015,8,988.45803,217589.0,24706.0
Sportnik2,2015,9,1203.3334,146476.0,26635.0
Sportnik2,2015,10,589.72333,107957.0,13611.0
Sportnik2,2015,11,572.67015,61607.0,12902.0
Sportnik2,2015,12,575.09762,96484.0,15260.0
Sportnik2,2016,1,333.84025999999994,69720.0,10051.0
Sportnik2,2016,2,1227.9906099999998,173206.0,30919.0
Sportnik2,2016,3,915.3251400000001,120501.0,20027.0
Sportnik2,2016,4,1082.73127,147750.0,27635.0
Sportnik2,2016,5,681.7665399999998,82315.0,18204.0
Sportnik2,2016,6,1021.6675199999999,124324.0,26104.0
Sportnik2,2016,7,1048.03507,138985.0,25815.0
Sportnik2,2016,8,781.2911200000001,93087.0,23854.0
Sportnik2,2016,9,981.3685999999998,111885.0,23505.0
Sportnik2,2016,10,1075.2567199999999,158573.0,31507.0
Sportnik2,2016,11,439.97294999999997,65548.0,16516.0
Sportnik2,2016,12,88.83716,23399.0,4399.0
Sportnik2,2017,1,103.91682,50167.0,5913.0
Sportnik2,2017,2,756.0928399999999,128230.0,22942.0
Sportnik2,2017,3,1310.5351399999997,180200.0,35211.0
Sportnik2,2017,4,660.39789,83190.0,17743.0
Sportnik2,2017,5,1153.10463,138896.0,32463.0
Sportnik2,2017,6,1127.2603800000002,152085.0,32066.0
Sportnik2,2017,7,844.5503,106390.0,18427.0
Sportnik2,2017,8,1079.5006700000001,132050.0,29740.0
Sportnik2,2017,9,627.85132,76015.0,18531.0
Sportnik2,2017,10,28.84086,6382.0,1327.0
Sportnik3,2013,8,28.796249999999997,28511.0,766.0
Sportnik3,2013,9,482.74406000000005,130619.0,11086.0
Sportnik3,2013,10,192.77439000000004,1847928.0,5871.0
Sportnik3,2013,11,31.378570000000003,7103.0,942.0
Sportnik3,2013,12,50.2858,1207210.0,3174.0
Sportnik3,2014,1,160.74251,584487.0,9410.0
Sportnik3,2014,2,578.20454,412741.0,12524.0
Sportnik3,2014,3,828.9747700000001,384315.0,17031.0
Sportnik3,2014,4,941.24793,697504.0,18591.0
Sportnik3,2014,5,1002.59375,159194.0,20322.0
Sportnik3,2014,6,972.33925,145469.0,19781.0
Sportnik3,2014,7,1407.4843300000002,486265.0,25596.0
Sportnik3,2014,8,1521.7323,536047.0,26185.0
Sportnik3,2014,9,546.9109399999999,101391.0,11028.0
Sportnik3,2014,10,254.41565999999997,48250.0,6580.0
Sportnik3,2014,11,73.21089,721616.0,1824.0
Sportnik3,2014,12,31.98586,618814.0,643.0
Sportnik3,2015,1,101.0202,608452.0,3038.0
Sportnik3,2015,2,635.1084999999999,321484.0,12804.0
Sportnik3,2015,3,835.47476,346295.0,18645.0
Sportnik3,2015,4,645.0599299999999,95561.0,13279.0
Sportnik3,2015,5,548.68205,255823.0,11300.0
Sportnik3,2015,6,832.2874400000001,289424.0,20014.0
Sportnik3,2015,7,869.46349,188635.0,15827.0
Sportnik3,2015,8,914.5346700000002,179603.0,18775.0
Sportnik3,2015,9,336.18781,44905.0,5593.0
Sportnik3,2015,12,233.36837999999997,190485.0,6450.0
Sportnik3,2016,1,207.48289999999997,287489.0,8071.0
Sportnik3,2016,2,1042.1996499999996,144569.0,18779.0
Sportnik3,2016,3,1331.8388999999995,168260.0,23069.0
Sportnik3,2016,4,1249.09697,159790.0,20874.0
Sportnik3,2016,5,1510.32406,200758.0,25211.0
Sportnik3,2016,6,1310.5584200000003,214070.0,23742.0
Sportnik3,2016,7,1850.9706899999999,255426.0,30915.0
Sportnik3,2016,8,1476.98782,200202.0,23090.0
Sportnik3,2016,9,587.48895,81895.0,9513.0
Sportnik4,2014,6,71.73987,19916.0,1759.0
Sportnik4,2014,7,760.3213199999997,184912.0,14231.0
Sportnik4,2014,8,379.35464,108508.0,8825.0
Sportnik4,2014,9,584.2204399999999,128968.0,13528.0
Sportnik4,2014,10,373.05825000000004,82756.0,8583.0
Sportnik4,2014,11,149.41062,49669.0,4325.0
Sportnik4,2014,12,583.4432,162727.0,13186.0
Sportnik4,2015,1,817.0351299999999,183424.0,14863.0
Sportnik4,2015,2,222.67351000000002,94255.0,9148.0
Sportnik4,2015,3,537.65256,117329.0,9448.0
Sportnik4,2015,4,649.8414,152872.0,13488.0
Sportnik4,2015,5,340.80789999999996,99026.0,8229.0
Sportnik4,2015,6,469.71141,728155.0,10795.0
Sportnik4,2015,7,545.4601499999999,138236.0,11235.0
Sportnik4,2015,8,342.29550000000006,95085.0,7452.0
Sportnik4,2015,9,166.60234000000003,44589.0,3679.0
Sportnik4,2015,10,284.25446,65161.0,5870.0
Sportnik4,2015,11,474.62041,138975.0,11376.0
Sportnik4,2015,12,550.06372,171774.0,14808.0
Sportnik4,2016,1,652.8839099999997,164631.0,19337.0
Sportnik4,2016,2,485.83688,125234.0,16698.0
Sportnik4,2016,3,505.57833,130832.0,16215.0
Sportnik4,2016,4,666.4172299999999,145074.0,19536.0
Sportnik4,2016,5,447.77896,143370.0,15110.0
Sportnik4,2016,6,876.3837900000001,215654.0,26945.0
Sportnik4,2016,7,639.2594700000001,191188.0,24755.0
Sportnik4,2016,8,393.2933900000001,143291.0,12141.0
Sportnik4,2016,9,522.6838200000001,113568.0,15718.0
Sportnik4,2016,10,347.77795999999995,69828.0,10069.0
Sportnik4,2016,11,0.0,0.0,0.0
Sportnik4,2016,12,30.037380000000002,7265.0,943.0
Sportnik4,2017,1,195.71424000000002,56175.0,6009.0
Sportnik4,2017,2,795.6300999999999,202622.0,22987.0
Sportnik4,2017,3,509.8783100000001,150766.0,17652.0
Sportnik4,2017,4,625.44254,137511.0,12693.0
Sportnik4,2017,5,508.7072699999998,189681.0,11200.0
Sportnik4,2017,6,836.9455499999998,190485.0,15276.0
Sportnik4,2017,7,590.0261,150677.0,13501.0
Sportnik4,2017,8,465.36484999999993,117183.0,9854.0
Sportnik4,2017,9,325.6304999999999,72425.0,6997.0
Sportnik4,2017,10,327.19588999999996,108509.0,9236.0
