idDimOtherData,calories,avg_heart_rate_element,vrsta_sporta
263,84,108.0,Biking
264,1271,114.0,Biking
265,615,135.0,Biking
266,194,177.0,Biking
267,184,131.0,Biking
268,229,130.0,Biking
269,40,161.0,Biking
270,25,125.0,Biking
271,47,165.0,Biking
272,15,135.0,Biking
273,42,167.0,Biking
274,41,165.0,Biking
275,26,168.0,Biking
276,43,170.0,Biking
277,20,162.0,Biking
278,45,165.0,Biking
279,337,133.0,Biking
280,309,130.0,Biking
281,11,118.0,Biking
282,21,124.0,Biking
283,248,165.0,Biking
284,33,122.0,Biking
285,303,134.0,Biking
286,1335,175.0,Biking
287,110,104.0,Biking
288,401,117.0,Biking
289,1175,137.0,Biking
290,106,130.0,Biking
291,801,129.0,Biking
292,396,119.0,Biking
293,15,167.0,Biking
294,15,163.0,Biking
295,31,170.0,Biking
296,27,151.0,Biking
297,47,165.0,Biking
298,43,149.0,Biking
299,59,165.0,Biking
300,47,164.0,Biking
301,29,140.0,Biking
302,29,162.0,Biking
303,51,111.0,Biking
304,30,160.0,Biking
305,20,138.0,Biking
306,27,139.0,Biking
307,61,160.0,Biking
308,29,160.0,Biking
309,17,164.0,Biking
310,172,115.0,Biking
311,842,132.0,Biking
312,0,,Biking
313,2699,135.0,Biking
314,257,141.0,Biking
315,73,107.0,Biking
316,674,119.0,Biking
317,115,123.0,Biking
318,109,123.0,Biking
319,124,133.0,Biking
320,178,140.0,Biking
321,115,140.0,Biking
322,57,121.0,Biking
323,66,122.0,Biking
324,72,133.0,Biking
325,78,141.0,Biking
326,36,125.0,Biking
327,56,129.0,Biking
328,267,155.0,Biking
329,94,149.0,Biking
330,75,147.0,Biking
331,70,145.0,Biking
332,187,154.0,Biking
333,52,137.0,Biking
334,104,144.0,Biking
335,251,101.0,Biking
336,391,114.0,Biking
337,710,173.0,Biking
338,2334,129.0,Biking
339,863,120.0,Biking
340,1098,131.0,Biking
341,0,,Biking
342,1063,120.0,Biking
343,446,120.0,Biking
344,178,99.0,Biking
345,362,110.0,Biking
346,517,135.0,Biking
347,689,121.0,Biking
348,484,159.0,Biking
349,74,112.0,Biking
350,488,167.0,Biking
351,73,114.0,Biking
352,498,175.0,Biking
353,162,130.0,Biking
354,1515,112.0,Biking
355,153,119.0,Biking
356,658,174.0,Biking
357,624,129.0,Biking
358,989,127.0,Biking
359,110,,Biking
360,915,132.0,Biking
361,1187,128.0,Biking
362,114,102.0,Biking
363,415,129.0,Biking
364,495,159.0,Biking
365,172,114.0,Biking
366,2105,134.0,Biking
367,1632,128.0,Biking
368,363,136.0,Biking
369,643,133.0,Biking
370,1661,132.0,Biking
371,238,121.0,Biking
372,325,133.0,Biking
373,93,125.0,Biking
374,201,124.0,Biking
375,141,178.0,Biking
376,294,114.0,Biking
377,699,115.0,Biking
378,485,120.0,Biking
379,27,121.0,Biking
380,68,130.0,Biking
381,205,162.0,Biking
382,505,135.0,Biking
383,3034,130.0,Biking
384,2162,130.0,Biking
385,347,119.0,Biking
386,1110,123.0,Biking
387,1522,127.0,Biking
388,912,126.0,Biking
389,2564,140.0,Biking
390,357,123.0,Biking
391,157,160.0,Biking
392,53,118.0,Biking
393,43,118.0,Biking
394,152,156.0,Biking
395,85,124.0,Biking
396,112,158.0,Biking
397,47,115.0,Biking
398,42,123.0,Biking
399,153,159.0,Biking
400,45,123.0,Biking
401,153,117.0,Biking
402,1006,127.0,Biking
403,773,124.0,Biking
404,373,131.0,Biking
405,1883,145.0,Biking
406,740,137.0,Biking
407,277,128.0,Biking
408,509,176.0,Biking
409,814,137.0,Biking
410,1057,135.0,Biking
411,1836,158.0,Biking
412,472,125.0,Biking
413,631,131.0,Biking
414,179,171.0,Biking
415,8,119.0,Biking
416,178,167.0,Biking
417,182,167.0,Biking
418,6,110.0,Biking
419,33,129.0,Biking
420,398,127.0,Biking
421,173,168.0,Biking
422,189,172.0,Biking
423,185,172.0,Biking
424,359,123.0,Biking
425,910,166.0,Biking
426,241,114.0,Biking
427,2226,131.0,Biking
428,1389,132.0,Biking
429,1736,136.0,Biking
430,499,125.0,Biking
431,480,120.0,Biking
