Skupaj_kilometri,skupaj_trajanje_aktivnosti_sek,poraba_kalorij
7050.45,1477,87.0
18956.97,7529,790.0
23461.59,2768,520.0
4063.42,721,238.0
6152.65,610,32.0
3925.56,834,232.0
2689.06,226,5.0
587.98,175,42.0
4866.93,549,29.0
4776.81,513,45.0
3970.45,797,240.0
17959.43,2368,368.0
7.23,29,0.0
14680.23,2279,237.0
4098.19,603,73.0
7385.59,731,141.0
5261.03,727,37.0
8550.65,821,150.0
22440.99,2914,201.0
10361.48,4119,179.0
28395.72,14410,631.0
0.0,3787,424.0
40852.2,6569,506.0
3027.16,461,46.0
8256.11,6750,840.0
6375.82,1261,268.0
23836.88,5035,1104.0
5482.42,1792,357.0
2424.29,540,89.0
2340.28,553,89.0
2004.88,573,210.0
5645.65,985,201.0
8262.86,1124,231.0
11711.04,3054,936.0
11899.68,1523,61.0
11629.25,2967,914.0
20585.51,2123,226.0
73623.61,10025,1889.0
31351.07,4346,669.0
13610.06,3544,1047.0
13969.75,2504,263.0
3502.67,302,111.0
2822.66,304,104.0
3081.42,534,46.0
1633.02,309,22.0
2935.08,300,101.0
20862.67,3270,357.0
6220.78,1687,217.0
8242.03,1862,378.0
7447.64,968,64.0
8267.94,1872,357.0
7497.31,1006,63.0
7984.35,1865,338.0
13523.06,2871,199.0
0.0,2075,184.0
0.0,3853,630.0
21493.12,2970,425.0
9128.54,965,163.0
9181.87,947,174.0
9185.38,944,173.0
9189.72,934,193.0
22590.2,3540,206.0
270.61,42,0.0
31780.85,6603,704.0
29242.89,3948,410.0
0.0,3618,682.0
7043.54,1539,196.0
3194.4,902,199.0
3273.82,490,15.0
6840.19,1324,74.0
6234.06,1002,167.0
80.42,1656,222.0
60469.6,15479,1925.0
1751.07,625,114.0
35744.37,6246,959.0
51424.05,9747,1292.0
10688.0,1892,216.0
1765.47,287,57.0
1778.4,283,58.0
2435.06,295,19.0
1772.83,290,59.0
1784.83,278,58.0
2683.02,328,20.0
1787.94,276,58.0
2566.86,318,17.0
1783.71,279,58.0
7964.44,1935,89.0
17226.26,4945,598.0
64058.24,11119,1063.0
6244.0,1072,299.0
2192.06,466,122.0
11805.0,1988,79.0
0.0,699,68.0
0.0,2655,319.0
0.0,342,20.0
16134.9,11439,648.0
30628.15,3641,748.0
4941.25,1200,457.0
2625.06,301,20.0
4529.19,1201,438.0
4879.12,1202,436.0
27147.89,4063,479.0
3796.57,933,216.0
3936.8,960,230.0
3923.1,949,227.0
3967.29,969,229.0
3882.55,982,226.0
7883.95,2006,443.0
24448.44,4187,637.0
2771.87,307,29.0
34788.19,7143,405.0
2793.83,504,63.0
6428.64,1392,268.0
6312.69,1690,172.0
13883.44,2199,338.0
51388.81,10217,926.0
58460.85,7765,1389.0
45.32,598,84.0
22583.64,2859,298.0
62743.02,9084,769.0
37208.06,8064,827.0
69173.3,17683,2483.0
56362.25,12066,1285.0
38845.21,3672,645.0
37153.54,4957,908.0
41151.97,7293,714.0
2310.73,850,84.0
82755.06,18161,1271.0
15181.35,3136,615.0
2022.44,616,194.0
6884.75,1431,184.0
7562.63,1653,229.0
557.19,186,40.0
1658.24,240,25.0
643.93,218,47.0
263.07,129,15.0
452.5,196,42.0
627.83,184,41.0
399.63,122,26.0
679.32,191,43.0
247.2,95,20.0
670.31,202,45.0
15440.7,3149,337.0
13338.44,1697,309.0
1543.67,199,11.0
2235.7,317,21.0
5783.16,734,248.0
4413.28,448,33.0
9906.87,1583,303.0
24339.33,4787,1335.0
292.68,2320,110.0
26123.67,6583,401.0
52944.42,5596,1175.0
7016.78,1135,106.0
34569.47,5466,801.0
10393.43,2812,396.0
291.56,59,15.0
165.33,61,15.0
508.92,116,31.0
336.45,189,27.0
