calories,avg_heart_rate_element,vrsta_sporta
674,119.0,Biking
115,123.0,Biking
109,123.0,Biking
124,133.0,Biking
178,140.0,Biking
115,140.0,Biking
57,121.0,Biking
66,122.0,Biking
72,133.0,Biking
78,141.0,Biking
36,125.0,Biking
56,129.0,Biking
267,155.0,Biking
94,149.0,Biking
75,147.0,Biking
70,145.0,Biking
187,154.0,Biking
52,137.0,Biking
104,144.0,Biking
251,101.0,Biking
391,114.0,Biking
710,173.0,Biking
2334,129.0,Biking
863,120.0,Biking
1098,131.0,Biking
0,,Biking
1063,120.0,Biking
446,120.0,Biking
178,99.0,Biking
362,110.0,Biking
517,135.0,Biking
689,121.0,Biking
484,159.0,Biking
74,112.0,Biking
488,167.0,Biking
73,114.0,Biking
498,175.0,Biking
162,130.0,Biking
1515,112.0,Biking
153,119.0,Biking
658,174.0,Biking
624,129.0,Biking
989,127.0,Biking
110,,Biking
915,132.0,Biking
1187,128.0,Biking
114,102.0,Biking
415,129.0,Biking
495,159.0,Biking
172,114.0,Biking
2105,134.0,Biking
1632,128.0,Biking
363,136.0,Biking
643,133.0,Biking
1661,132.0,Biking
238,121.0,Biking
325,133.0,Biking
93,125.0,Biking
201,124.0,Biking
141,178.0,Biking
294,114.0,Biking
699,115.0,Biking
485,120.0,Biking
27,121.0,Biking
68,130.0,Biking
205,162.0,Biking
505,135.0,Biking
3034,130.0,Biking
2162,130.0,Biking
347,119.0,Biking
1110,123.0,Biking
1522,127.0,Biking
912,126.0,Biking
2564,140.0,Biking
357,123.0,Biking
157,160.0,Biking
53,118.0,Biking
43,118.0,Biking
152,156.0,Biking
85,124.0,Biking
112,158.0,Biking
47,115.0,Biking
42,123.0,Biking
153,159.0,Biking
45,123.0,Biking
153,117.0,Biking
1006,127.0,Biking
773,124.0,Biking
373,131.0,Biking
1883,145.0,Biking
740,137.0,Biking
277,128.0,Biking
509,176.0,Biking
814,137.0,Biking
1057,135.0,Biking
1836,158.0,Biking
472,125.0,Biking
631,131.0,Biking
179,171.0,Biking
8,119.0,Biking
178,167.0,Biking
182,167.0,Biking
6,110.0,Biking
33,129.0,Biking
398,127.0,Biking
173,168.0,Biking
189,172.0,Biking
185,172.0,Biking
359,123.0,Biking
910,166.0,Biking
241,114.0,Biking
2226,131.0,Biking
1389,132.0,Biking
1736,136.0,Biking
499,125.0,Biking
480,120.0,Biking
1285,138.0,Biking
663,114.0,Biking
106,107.0,Biking
557,117.0,Biking
759,133.0,Biking
20,132.0,Biking
9,109.0,Biking
10,113.0,Biking
421,131.0,Biking
0,,Biking
183,95.0,Biking
2343,145.0,Biking
485,128.0,Biking
1241,133.0,Biking
56,161.0,Biking
626,139.0,Biking
196,159.0,Biking
0,167.0,Biking
227,113.0,Biking
1468,134.0,Biking
653,115.0,Biking
396,129.0,Biking
833,124.0,Biking
1671,130.0,Biking
189,123.0,Biking
301,101.0,Biking
984,123.0,Biking
180,176.0,Biking
31,116.0,Biking
1778,175.0,Biking
409,118.0,Biking
42,114.0,Biking
5,109.0,Biking
282,168.0,Biking
47,111.0,Biking
78,125.0,Biking
206,170.0,Biking
10,164.0,Biking
214,173.0,Biking
9,158.0,Biking
175,164.0,Biking
5,151.0,Biking
173,164.0,Biking
5,134.0,Biking
119,152.0,Biking
443,123.0,Biking
1120,177.0,Biking
263,130.0,Biking
252,156.0,Biking
252,144.0,Biking
253,159.0,Biking
268,173.0,Biking
257,176.0,Biking
152,121.0,Biking
711,105.0,Biking
243,130.0,Biking
3506,136.0,Biking
1156,141.0,Biking
742,143.0,Biking
88,130.0,Biking
354,118.0,Biking
156,167.0,Biking
663,134.0,Biking
153,97.0,Biking
305,,Biking
989,101.0,Biking
683,124.0,Biking
1020,118.0,Biking
650,161.0,Biking
237,104.0,Biking
600,150.0,Biking
1816,133.0,Biking
778,120.0,Biking
747,131.0,Biking
763,178.0,Biking
219,104.0,Biking
256,175.0,Biking
275,177.0,Biking
266,173.0,Biking
240,165.0,Biking
0,167.0,Biking
206,,Biking
1319,130.0,Biking
277,130.0,Biking
926,127.0,Biking
95,133.0,Biking
191,136.0,Biking
183,133.0,Biking
163,132.0,Biking
1094,137.0,Biking
263,115.0,Biking
1032,133.0,Biking
317,148.0,Biking
99,103.0,Biking
1741,127.0,Biking
72,162.0,Biking
610,126.0,Biking
596,116.0,Biking
1657,133.0,Biking
675,129.0,Biking
2895,135.0,Biking
678,125.0,Biking
88,179.0,Biking
473,124.0,Biking
457,111.0,Biking
168,104.0,Biking
315,143.0,Biking
291,176.0,Biking
231,135.0,Biking
129,127.0,Biking
231,169.0,Biking
114,130.0,Biking
1189,146.0,Biking
1017,179.0,Biking
1304,117.0,Biking
1768,137.0,Biking
1219,139.0,Biking
308,131.0,Biking
161,167.0,Biking
162,138.0,Biking
163,146.0,Biking
163,169.0,Biking
211,113.0,Biking
1592,173.0,Biking
337,121.0,Biking
1568,135.0,Biking
508,127.0,Biking
364,166.0,Biking
25,111.0,Biking
17,112.0,Biking
412,171.0,Biking
510,169.0,Biking
359,107.0,Biking
905,177.0,Biking
424,132.0,Biking
1426,137.0,Biking
408,105.0,Biking
1120,121.0,Biking
389,123.0,Biking
36,122.0,Biking
42,120.0,Biking
561,120.0,Biking
364,143.0,Biking
1984,133.0,Biking
1256,127.0,Biking
1992,133.0,Biking
152,111.0,Biking
868,124.0,Biking
733,,Biking
714,125.0,Biking
75,122.0,Biking
268,134.0,Biking
1747,138.0,Biking
70,106.0,Biking
305,128.0,Biking
240,153.0,Biking
41,112.0,Biking
804,112.0,Biking
1720,129.0,Biking
900,129.0,Biking
771,120.0,Biking
731,120.0,Biking
136,92.0,Biking
2635,133.0,Biking
917,125.0,Biking
684,108.0,Biking
384,100.0,Biking
462,130.0,Biking
529,,Biking
978,174.0,Biking
1809,139.0,Biking
1359,128.0,Biking
474,83.0,Biking
345,104.0,Biking
248,111.0,Biking
810,121.0,Biking
1583,131.0,Biking
638,121.0,Biking
706,113.0,Biking
778,124.0,Biking
1243,124.0,Biking
3276,135.0,Biking
336,114.0,Biking
470,133.0,Biking
805,128.0,Biking
1808,140.0,Biking
605,111.0,Biking
654,115.0,Biking
496,171.0,Biking
84,108.0,Biking
198,118.0,Biking
2046,166.0,Biking
1312,127.0,Biking
598,120.0,Biking
287,159.0,Biking
20,107.0,Biking
278,162.0,Biking
20,109.0,Biking
274,163.0,Biking
20,113.0,Biking
269,167.0,Biking
505,126.0,Biking
0,,Biking
1147,132.0,Biking
790,173.0,Biking
0,,Biking
821,108.0,Biking
1368,112.0,Biking
943,121.0,Biking
308,117.0,Biking
919,135.0,Biking
324,129.0,Biking
353,158.0,Biking
117,114.0,Biking
1001,179.0,Biking
804,123.0,Biking
173,176.0,Biking
1668,120.0,Biking
2447,162.0,Biking
203,106.0,Biking
847,128.0,Biking
0,,Biking
961,115.0,Biking
2199,142.0,Biking
2404,141.0,Biking
163,125.0,Biking
99,169.0,Biking
105,175.0,Biking
106,175.0,Biking
105,173.0,Biking
104,177.0,Biking
105,176.0,Biking
103,177.0,Biking
122,137.0,Biking
636,114.0,Biking
210,173.0,Biking
252,110.0,Biking
194,112.0,Biking
225,109.0,Biking
868,105.0,Biking
437,176.0,Biking
775,133.0,Biking
694,130.0,Biking
1447,118.0,Biking
1052,127.0,Biking
1324,,Biking
0,,Biking
0,,Biking
0,,Biking
